step,layer,pos,median,max_over_median,r1_over_r2,cliff,r1_energy_frac,top8
1000,11,1,0.332305908203125,4.792359352111816,1.044181227684021,1.0915603637695312,0.010749353095889091,1.6|1.5|1.4|1.4|1.4|1.4|1.3|1.3
2000,12,0,0.75885009765625,15.756775856018066,1.138129711151123,1.138129711151123,0.028962042182683945,12.0|10.5|10.2|9.8|9.6|9.6|9.5|9.1
4000,14,0,0.8924560546875,73.16536712646484,1.1776807308197021,1.197625756263733,0.11430409550666809,65.3|55.4|50.7|44.9|44.8|43.0|40.3|40.2
8000,18,0,1.239990234375,187.77870178222656,1.1169240474700928,1.5170364379882812,0.2317960560321808,232.8|208.5|179.2|144.1|122.2|117.6|108.9|95.3
16000,20,0,1.4449462890625,342.4435119628906,1.1029534339904785,1.7010762691497803,0.3462967276573181,494.8|448.6|373.5|242.0|142.3|107.7|107.0|65.5
32000,19,0,1.7078857421875,459.4130554199219,1.1023885011672974,3.665998935699463,0.416180819272995,784.6|711.8|540.2|228.8|62.4|30.3|20.8|20.6
64000,18,0,1.675048828125,516.4774780273438,1.0619916915893555,7.307905197143555,0.43655315041542053,865.1|814.6|535.9|73.3|34.5|31.6|22.1|13.5
143000,17,0,1.308837890625,498.4383544921875,1.0454727411270142,16.75529670715332,0.43668922781944275,652.4|624.0|392.4|23.4|20.3|14.8|14.3|9.8
