step,total_rms,E_total,E_win,E_field,win_frac
8000,15.241141319274902,237867.40625,131615.5625,106251.84375,0.5533148259987806
16000,27.01766586303711,747473.125,622232.1875,125240.9375,0.8324475712755559
24000,33.81053161621094,1170587.75,1088334.125,82253.625,0.9297330550400856
32000,38.527591705322266,1520000.25,1455894.75,64105.5,0.9578253358839908
48000,41.96390151977539,1803232.25,1772334.625,30897.625,0.9828654212456549
64000,41.099483489990234,1729707.625,1714708.625,14999.0,0.9913285923105069
96000,35.78805923461914,1311524.0,1303853.625,7670.375,0.9941515557473596
143000,30.850419998168945,974590.375,968927.25,5663.125,0.994189225396362
