chan,role,gp_16000,gp_32000,gp_48000
357,winner,0.16734379529953003,0.27916017174720764,0.27378278970718384
130,winner,0.3375380039215088,0.4067050516605377,0.31386598944664
966,winner,-0.21301908791065216,-0.19390921294689178,-0.38384127616882324
752,winner,0.013465250842273235,0.054322320967912674,0.1480265110731125
728,winner,0.0464506559073925,0.07797785103321075,0.11793935298919678
125,winner,-0.18016940355300903,0.061778031289577484,-0.1879929155111313
647,winner,0.11551191657781601,0.07785176485776901,0.09263098239898682
278,winner,0.5064584612846375,0.43234553933143616,0.36039990186691284
550,winner,0.06396077573299408,-0.013075585477054119,0.0050220126286149025
800,winner,0.011431736871600151,0.015669677406549454,0.034842707216739655
509,collapse,0.18191412091255188,0.11133363097906113,0.07220935076475143
421,collapse,0.15958501398563385,0.08920350670814514,0.046443819999694824
876,collapse,0.03728523105382919,0.06657936424016953,0.07377661764621735
945,collapse,-0.013325324282050133,-0.04546504467725754,-0.004184580408036709
906,collapse,0.05731403827667236,-0.002023423556238413,-0.0033165616914629936
861,random,0.020938975736498833,0.012849869206547737,0.003300184616819024
831,random,0.024009549990296364,0.03585197031497955,0.02646949328482151
644,random,-0.022310197353363037,-0.023243196308612823,-0.0271886195987463
518,random,-0.006634851917624474,0.010031425394117832,0.006833440624177456
272,random,0.01515166275203228,-0.002073698677122593,-0.002573832403868437
41,random,-0.038140200078487396,-0.01226179301738739,-0.023578980937600136
16,random,-0.15767228603363037,-0.1050892174243927,-0.04654857888817787
312,random,-0.028476174920797348,-0.012991935014724731,-0.011511748656630516
178,random,-0.019890014082193375,-0.0389888696372509,-0.05918479338288307
75,random,-0.015062682330608368,-0.00030669430270791054,-0.018716566264629364
