model,n_params,layer,pos,median,rank1,rank2,r1_over_r2,max_over_median,r1_energy_frac
ours-51M,51192320,5,0,1.2500262260437012,244.31906127929688,144.35781860351562,1.6924546494452697,195.45114829499582,0.4426717758178711
pythia-70m,70426624,3,0,0.705078125,97.140625,75.921875,1.2794813747684708,137.77285318540018,0.5722180604934692
pythia-160m,162322944,7,20,0.48065185546875,150.24609375,67.080322265625,2.239793857206809,312.58819047554016,0.7232286334037781
pythia-410m,405334016,17,0,1.308837890625,652.375,624.0,1.0454727564102564,498.438351053527,0.43668922781944275
pythia-1.4b,1414647808,18,0,1.191650390625,1136.5,579.125,1.9624433412475717,953.7193198107136,0.7702556252479553
pythia-2.8b,2775208960,17,0,0.797607421875,828.375,177.21875,4.6743078822077235,1038.57483930081,0.8921899795532227
pythia-6.9b,6857302016,21,0,1.15234375,1951.0,1541.0,1.2660609993510707,1693.0711864392085,0.4313454329967499
ours-203M,203056128,7,0,1.1893078088760376,376.770751953125,298.67425537109375,1.2614771617493403,316.79835038574043,0.39029133319854736
ours-380M,379659520,9,0,2.1582000255584717,825.2303466796875,466.1532897949219,1.7702982361075623,382.3697233372808,0.47025609016418457
