model,n_params,rank,mag,mag_over_median
pythia-6.9b,6857302016,55,7.5078125,6.515254237282481
pythia-6.9b,6857302016,56,7.23828125,6.281355932197938
pythia-6.9b,6857302016,57,7.1953125,6.24406779660475
pythia-6.9b,6857302016,58,7.171875,6.223728813553921
pythia-6.9b,6857302016,59,7.015625,6.088135593215055
pythia-6.9b,6857302016,60,6.76953125,5.8745762711813425
pythia-6.9b,6857302016,61,6.734375,5.844067796605097
pythia-6.9b,6857302016,62,6.6015625,5.728813559317062
pythia-6.9b,6857302016,63,6.55859375,5.691525423723874
pythia-6.9b,6857302016,64,6.4140625,5.566101694910423
ours-203M,203056128,1,376.770751953125,316.79835038574043
ours-203M,203056128,2,298.67425537109375,251.13284646899484
ours-203M,203056128,3,290.2794189453125,244.07425628475332
ours-203M,203056128,4,130.22918701171875,109.49998481443009
ours-203M,203056128,5,112.7197494506836,94.77760812578475
ours-203M,203056128,6,98.02751922607422,82.42401041546451
ours-203M,203056128,7,42.684181213378906,35.88993605758122
ours-203M,203056128,8,23.382049560546875,19.66021696487855
ours-203M,203056128,9,20.129064559936523,16.92502513621153
ours-203M,203056128,10,18.535457611083984,15.585080222911714
ours-203M,203056128,11,16.5529842376709,13.918166612645447
ours-203M,203056128,12,15.677033424377441,13.181645077383232
ours-203M,203056128,13,15.337295532226562,12.895984889486488
ours-203M,203056128,14,14.57315731048584,12.253478201110976
ours-203M,203056128,15,13.015887260437012,10.944086268740477
ours-203M,203056128,16,12.028456687927246,10.113829740414044
ours-203M,203056128,17,11.872293472290039,9.98252377027612
ours-203M,203056128,18,11.719636917114258,9.854166288692005
ours-203M,203056128,19,9.23137092590332,7.761969489311366
ours-203M,203056128,20,9.123198509216309,7.67101539325683
ours-203M,203056128,21,8.5787992477417,7.213270764481005
ours-203M,203056128,22,8.282983779907227,6.964541658671311
ours-203M,203056128,23,7.718994140625,6.490324946166283
ours-203M,203056128,24,7.669015407562256,6.448301566945445
ours-203M,203056128,25,6.994694709777832,5.881315717906812
ours-203M,203056128,26,6.711422920227051,5.643133653149118
ours-203M,203056128,27,6.646223068237305,5.588311973258436
ours-203M,203056128,28,6.569521903991699,5.5238196999603835
ours-203M,203056128,29,6.3189005851745605,5.313090974439125
ours-203M,203056128,30,6.289120197296143,5.288050873250739
