step,sink_attn_mean,sink_attn_maxlayer
8000,0.3446165747397269,0.6740450263023376
16000,0.39564180475038785,0.7188133597373962
24000,0.4172032381951188,0.7277164459228516
32000,0.43314118101261556,0.7541357278823853
48000,0.44626969293070334,0.7818332314491272
64000,0.455222479494599,0.7884489893913269
96000,0.46727993226765346,0.8211486339569092
143000,0.4646924919992064,0.8377746939659119
