iter,wd,ratio_L,median,w_norm_ma,ch207,ch221,ch468
4000,0.05,45.357,0.9286,4.82713,23.1397,29.9934,23.2956
4100,0.05,43.047,0.9209,4.93304,24.2927,28.1677,22.0189
4200,0.05,44.884,0.9152,5.04906,24.8134,30.1137,23.0451
4300,0.05,45.671,0.8845,5.14777,24.7767,29.5418,22.6639
4400,0.05,45.316,0.9287,5.26451,26.5281,30.9292,24.4849
4500,0.05,44.793,0.9037,5.37076,26.1163,30.4796,23.3337
4600,0.05,46.093,0.9330,5.48487,26.4825,31.4958,24.5855
4700,0.05,47.847,0.9430,5.60249,27.7933,32.5221,25.1282
4800,0.05,48.555,0.9044,5.70689,28.7766,33.1876,25.8131
4900,0.05,48.125,0.9329,5.79906,28.4592,33.2688,25.1142
5000,0.05,48.101,0.9222,5.91120,28.8053,33.7858,25.9223
5100,0.05,48.737,0.9555,6.02823,30.7372,34.4276,26.3058
5200,0.05,50.873,0.9223,6.13418,31.4084,34.7375,26.4214
5300,0.05,50.733,0.9463,6.23607,31.9675,36.6639,27.7649
5400,0.05,50.007,0.8864,6.34399,30.6883,35.0363,26.3891
5500,0.05,49.543,0.9334,6.44917,31.4871,34.2489,25.7850
5600,0.05,51.546,0.9293,6.55331,33.4635,37.1437,27.9574
5700,0.05,52.235,0.9410,6.66032,32.9339,36.8525,27.6579
5800,0.05,50.276,0.9530,6.75633,35.1730,37.0964,27.4277
5900,0.05,52.712,0.9084,6.86680,35.0372,37.9276,28.5893
6000,0.05,50.449,0.9336,6.97544,35.5358,37.1854,27.5202
6100,0.05,55.104,0.9554,7.08472,37.3623,39.7042,29.3940
6200,0.05,54.481,0.9246,7.17639,36.9449,39.4396,28.8693
6300,0.05,55.746,0.9233,7.27808,36.7078,39.4745,28.6976
6400,0.05,53.088,0.9258,7.38817,37.1694,38.7226,28.1093
6500,0.05,54.327,0.8958,7.47732,38.5368,40.4089,29.5599
6600,0.05,55.324,0.8922,7.57339,39.4138,39.6955,28.8387
6700,0.05,55.731,0.9448,7.67463,39.6424,41.3775,29.9187
6800,0.05,55.000,0.9099,7.79188,39.8926,40.2148,29.2475
6900,0.05,58.108,0.9796,7.89288,42.0081,41.3344,30.1826
7000,0.05,57.458,0.9722,7.98810,40.4558,42.7874,31.0889
7100,0.05,55.639,0.9407,8.08356,41.5642,41.9471,30.9499
7200,0.05,57.146,0.9587,8.18166,41.7444,42.6155,30.5803
7300,0.05,59.109,0.9552,8.27910,42.6638,44.0788,31.4938
7400,0.05,59.856,0.9397,8.37727,43.5532,42.8081,29.9363
7500,0.05,58.486,0.9333,8.47449,42.9544,43.1174,30.1588
7600,0.05,59.616,0.9215,8.56357,44.5971,42.6433,29.9123
7700,0.05,59.944,0.9203,8.65675,44.7309,43.4915,30.4138
7800,0.05,61.453,0.9509,8.75184,45.3085,45.2546,31.7387
7900,0.05,61.084,0.9248,8.85926,45.3743,44.3901,30.8662
8000,0.05,62.126,0.9490,8.95501,45.5092,45.1680,31.2854
8100,0.05,62.277,0.9607,9.04660,45.7364,45.6791,31.1140
8200,0.05,63.210,0.9254,9.12608,46.7334,45.5084,31.0646
8300,0.05,62.355,0.9559,9.22035,47.5148,46.5912,31.5387
8400,0.05,65.614,0.9259,9.30803,49.6335,48.5503,32.9811
8500,0.05,63.554,0.9395,9.40804,47.8929,46.0982,30.9743
8600,0.05,66.557,0.9480,9.48859,48.9766,45.9996,31.2825
8700,0.05,66.832,0.9592,9.57728,49.8993,47.8850,32.5691
8800,0.05,64.988,0.9519,9.66661,48.4365,47.8313,32.0429
