ckpt,layer,channel,ma_ratio,F_mean,F_sem,signif_sigma,direction
4000,5,308,75.804,-3.0771e-04,8.3039e-05,-3.71,UP(floor)
8000,5,207,145.472,1.6755e-03,4.9685e-04,3.37,DOWN(ceil)
12000,5,207,204.912,3.9342e-06,6.2606e-04,0.01,DOWN(ceil)
16000,5,207,248.129,-9.6863e-03,7.1863e-04,-13.48,UP(floor)
20000,5,207,282.909,-3.5633e-03,6.9476e-04,-5.13,UP(floor)
24000,5,207,308.412,1.5607e-04,7.1029e-04,0.22,DOWN(ceil)
28000,5,207,338.108,-2.0685e-03,6.9888e-04,-2.96,UP(floor)
32000,5,207,360.010,4.0675e-04,6.8777e-04,0.59,DOWN(ceil)
36000,5,207,384.040,-6.5925e-04,7.0595e-04,-0.93,UP(floor)
40000,5,207,396.843,-5.2652e-03,6.5389e-04,-8.05,UP(floor)
