iter,wd,ratio_L,median,w_norm_ma,ch207,ch221,ch468
12700,0.4,49.752,0.4035,4.61011,13.9061,9.3511,3.2533
12800,0.4,49.540,0.3982,4.60121,14.0176,9.4083,3.3268
12900,0.4,51.055,0.4089,4.59922,13.9861,9.5424,3.3013
13000,0.4,50.950,0.3949,4.59898,13.8740,9.4275,3.0824
13100,0.4,51.623,0.4020,4.60002,14.4237,8.9045,3.2099
13200,0.4,50.778,0.4057,4.60656,14.4107,9.2501,3.1042
13300,0.4,50.041,0.3871,4.60057,13.9066,9.0595,2.7033
13400,0.4,52.469,0.4081,4.59116,14.2734,9.3795,3.2140
13500,0.4,51.256,0.4119,4.58597,14.2289,9.2485,2.8813
13600,0.4,50.910,0.4005,4.58058,13.7705,8.3755,2.4546
13700,0.4,49.372,0.4062,4.57460,13.1827,8.5464,2.4577
13800,0.4,51.731,0.4067,4.57146,14.1740,8.6583,2.6127
13900,0.4,47.384,0.3776,4.56654,13.0906,8.5060,2.3485
14000,0.4,48.957,0.3822,4.56356,12.9939,8.4686,2.2769
14100,0.4,50.083,0.3843,4.56461,13.3397,8.0021,2.0309
14200,0.4,51.454,0.4047,4.55491,14.1235,8.6036,2.3989
14300,0.4,49.406,0.3740,4.55434,12.6956,8.1073,1.9108
14400,0.4,50.786,0.3937,4.54666,13.2400,8.3127,2.2305
14500,0.4,52.064,0.3835,4.54482,13.2300,7.9971,2.2930
14600,0.4,49.925,0.3791,4.53620,13.0027,8.4772,2.2591
14700,0.4,48.929,0.3772,4.53114,12.4045,8.1914,1.8592
14800,0.4,48.763,0.3774,4.52426,13.0852,8.3623,2.0346
14900,0.4,49.247,0.3763,4.52458,12.7556,8.3351,2.1233
15000,0.4,49.367,0.3666,4.52108,12.8150,7.7548,1.7641
15100,0.4,48.241,0.3600,4.51558,12.5242,8.3254,1.8905
15200,0.4,49.925,0.3875,4.50520,12.5246,7.4040,1.3633
15300,0.4,48.978,0.3631,4.50777,12.4147,8.0648,1.5346
15400,0.4,49.451,0.3617,4.50350,12.5666,8.1518,1.3835
15500,0.4,52.193,0.3600,4.49527,12.5645,7.7969,1.4068
15600,0.4,50.820,0.3642,4.48285,12.4619,7.5776,1.0725
15700,0.4,50.100,0.3730,4.47282,12.5267,7.6386,1.2729
15800,0.4,48.827,0.3530,4.47231,12.0213,7.6555,1.2913
15900,0.4,49.178,0.3565,4.47205,12.3829,7.7987,1.2360
16000,0.4,49.330,0.3654,4.45988,11.8846,7.3786,1.0310
16100,0.4,48.041,0.3487,4.45247,11.7121,6.7914,0.9162
16200,0.4,51.268,0.3486,4.45158,12.1635,7.4364,1.0593
16300,0.4,49.685,0.3667,4.44769,11.5294,7.4649,1.1065
16400,0.4,47.000,0.3348,4.43868,11.3831,6.6232,0.9247
16500,0.4,48.074,0.3375,4.42797,11.3779,7.2343,1.0355
16600,0.4,48.184,0.3361,4.42610,11.4410,7.2665,0.8925
16700,0.4,48.442,0.3427,4.42246,11.7940,6.7308,1.1233
16800,0.4,46.436,0.3343,4.41514,10.7437,7.1081,1.0345
16900,0.4,46.832,0.3388,4.41129,11.1303,7.0455,0.9676
17000,0.4,48.366,0.3227,4.39995,11.3487,7.1774,0.8862
17100,0.4,45.428,0.3160,4.38636,10.6057,6.7534,0.6241
17200,0.4,47.318,0.3206,4.38060,10.8910,6.7781,0.7846
17300,0.4,48.179,0.3340,4.37226,10.4939,6.2414,0.4534
17400,0.4,47.390,0.3210,4.37099,10.7639,6.3173,0.5029
17500,0.4,48.751,0.3318,4.36527,10.9485,6.5992,0.5023
17600,0.4,46.934,0.3393,4.34942,10.7247,6.4494,0.4665
17700,0.4,45.776,0.3217,4.34590,10.4353,6.1197,0.5104
17800,0.4,45.845,0.3209,4.34669,10.2941,6.2957,0.4883
