iter,wd,ratio_L,median,ch207,ch221,ch468
21000,0.4,48.943,0.2964,8.3473,4.7594,0.2590
21200,0.4,48.382,0.2855,8.6991,4.6292,0.2455
21400,0.4,51.183,0.2722,8.3647,4.6883,0.2393
21600,0.4,48.748,0.2711,8.1947,4.4423,0.2617
21800,0.4,48.501,0.2765,8.2219,4.5091,0.1942
22000,0.4,48.198,0.2568,7.8284,4.1139,0.3789
22200,0.4,54.861,0.2764,8.1983,4.2964,0.2050
22400,0.4,53.347,0.2744,8.0323,4.2563,0.2720
22600,0.4,48.309,0.2553,7.5545,3.8860,0.5205
22800,0.4,51.527,0.2644,7.6157,3.9898,0.2699
23000,0.4,49.922,0.2564,7.6513,4.1598,0.2030
23200,0.4,50.800,0.2581,7.6534,4.0088,0.2434
23400,0.4,51.344,0.2614,7.6013,3.9714,0.3401
23600,0.4,49.291,0.2540,7.0476,3.7547,0.3194
23800,0.4,50.826,0.2504,7.2752,3.5985,0.4246
24000,0.4,50.325,0.2380,6.9608,3.7038,0.2510
