iter,wd,ratio_L,median,ch207,ch221,ch468
4000,0.4,45.357,0.9286,23.1397,29.9934,23.2956
4200,0.4,43.227,0.8575,22.2497,26.7492,20.5634
4400,0.4,42.493,0.8107,22.2825,26.0803,20.8625
4600,0.4,40.185,0.7881,19.9028,23.1124,18.2771
4800,0.4,41.012,0.7514,20.5785,22.9220,18.1270
5000,0.4,40.461,0.7391,19.4114,21.5686,16.7623
5200,0.4,42.013,0.7059,19.3015,20.9587,16.2745
5400,0.4,39.829,0.6644,18.5980,19.9150,15.6032
5600,0.4,40.482,0.6821,18.3182,20.0749,15.6867
5800,0.4,39.603,0.6614,18.4472,17.7627,14.0223
6000,0.4,42.117,0.6403,17.5594,17.1875,13.3621
6200,0.4,40.572,0.6145,17.6386,17.8529,13.7958
6400,0.4,40.937,0.6215,16.7777,15.7317,12.0035
6600,0.4,43.737,0.5909,17.1624,16.2476,12.2847
6800,0.4,39.051,0.5853,16.7028,15.2514,11.6942
7000,0.4,41.480,0.5865,16.7696,15.2662,11.7033
7200,0.4,41.895,0.5765,16.2936,14.3429,10.6976
7400,0.4,45.682,0.5699,17.4026,14.9382,10.8941
7600,0.4,43.974,0.5355,16.6609,13.7948,10.2135
7800,0.4,47.180,0.5541,17.8674,14.3644,10.5469
8000,0.4,44.450,0.5202,15.8945,13.2548,9.5882
8200,0.4,47.025,0.5265,16.7587,12.7995,8.9780
8400,0.4,46.280,0.5085,16.7588,13.3943,9.2204
8600,0.4,46.938,0.5162,16.1710,11.6606,8.2597
8800,0.4,46.734,0.5165,16.2677,12.5705,8.3957
9000,0.4,47.637,0.5144,16.2885,12.2986,8.2203
9200,0.4,47.880,0.5103,15.7198,12.4730,8.2305
9400,0.4,51.951,0.5125,16.9101,12.1193,7.6043
9600,0.4,48.410,0.4961,16.3460,11.5012,7.0475
9800,0.4,51.157,0.4879,16.7989,12.2467,7.0297
10000,0.4,50.443,0.4718,16.0980,10.5995,6.2566
10200,0.4,49.967,0.4477,16.0292,11.0817,6.2238
10400,0.4,48.308,0.4638,15.6038,10.8064,6.0057
10600,0.4,47.919,0.4474,15.3524,10.9136,5.7381
10800,0.4,48.801,0.4526,14.8761,10.6518,5.2612
11000,0.4,48.110,0.4533,15.5347,10.3245,5.4252
11200,0.4,49.830,0.4473,15.3203,10.4125,5.1625
11400,0.4,49.915,0.4362,15.2783,10.7523,5.0982
11600,0.4,53.701,0.4386,15.3452,10.2371,4.5302
11800,0.4,48.477,0.4207,14.8049,9.1764,4.0866
12000,0.4,49.504,0.4054,14.4747,10.1494,4.2589
12200,0.4,50.827,0.4113,15.1051,10.3265,4.1830
12400,0.4,49.489,0.4013,14.5859,9.7481,3.5912
12600,0.4,52.167,0.4105,14.7280,9.7528,3.6511
12800,0.4,50.775,0.4092,14.6511,9.5874,3.4864
13000,0.4,50.819,0.3951,14.0743,9.2401,3.2098
13200,0.4,49.837,0.4037,14.1394,8.8951,3.0266
13400,0.4,53.617,0.4138,14.3526,9.3925,3.0043
13600,0.4,49.362,0.4076,13.3790,8.4187,2.5572
13800,0.4,50.454,0.3984,14.1385,8.8160,2.7907
14000,0.4,49.906,0.3855,13.4615,8.5535,2.4078
14200,0.4,52.462,0.4071,14.5664,8.3844,2.3489
14400,0.4,50.499,0.3870,13.3737,8.5073,2.4456
14600,0.4,48.813,0.3776,12.7029,8.3532,2.0790
14800,0.4,51.280,0.3865,13.6924,8.3004,1.9374
15000,0.4,48.791,0.3631,12.8453,8.1779,1.5507
15200,0.4,50.708,0.3923,12.6986,8.0863,1.4532
15400,0.4,51.020,0.3537,12.8673,8.2324,1.5128
15600,0.4,50.295,0.3546,12.3621,7.6291,1.2719
15800,0.4,47.077,0.3488,12.0343,7.4295,1.3241
16000,0.4,48.045,0.3630,11.9274,7.5441,1.0110
16200,0.4,50.704,0.3522,11.9550,7.3288,1.0541
16400,0.4,47.754,0.3447,11.9182,7.0941,1.0522
16600,0.4,46.608,0.3393,11.2474,7.3717,0.9391
16800,0.4,47.259,0.3372,11.0338,7.0634,0.8385
17000,0.4,48.381,0.3420,11.6903,7.0626,0.8111
17200,0.4,46.572,0.3130,10.6257,6.7480,0.7730
17400,0.4,45.509,0.3250,10.4057,6.2350,0.4311
17600,0.4,48.476,0.3408,10.7598,6.5074,0.4842
17800,0.4,45.717,0.3188,10.3530,6.6142,0.4741
18000,0.4,49.989,0.3253,10.4138,5.9906,0.5276
18200,0.4,46.433,0.3224,10.3266,6.3196,0.4370
18400,0.4,46.615,0.3072,10.0113,6.0792,0.3249
18600,0.4,47.280,0.3305,10.0359,6.0133,0.3304
18800,0.4,49.011,0.3233,10.0200,5.9727,0.2678
19000,0.4,51.024,0.3125,9.7348,5.8040,0.2337
19200,0.4,45.990,0.3032,9.6758,5.4798,0.2182
19400,0.4,48.626,0.2964,9.3394,5.6016,0.3038
19600,0.4,51.331,0.3057,9.9264,5.4809,0.1704
19800,0.4,47.676,0.2948,9.4138,5.3489,0.1754
20000,0.4,49.916,0.3108,9.6328,5.5107,0.2036
20200,0.4,49.785,0.2845,9.4002,5.2113,0.2154
20400,0.4,47.862,0.2881,8.8515,4.9420,0.2365
20600,0.4,49.362,0.3051,9.1910,5.2346,0.2480
20800,0.4,49.703,0.2902,8.7246,4.9743,0.2521
