iter,wd,ratio_L,median,w_norm_ma,ch207,ch221,ch468
4000,0.1,45.357,0.9286,4.82713,23.1397,29.9934,23.2956
4100,0.1,43.426,0.9074,4.91872,23.9540,27.8476,21.6900
4200,0.1,44.463,0.9061,5.02053,24.7068,29.9949,22.8227
4300,0.1,45.371,0.8864,5.10660,24.6885,29.2659,22.6405
4400,0.1,45.610,0.9088,5.20964,26.2415,30.7105,24.2763
4500,0.1,44.629,0.8734,5.29485,25.1983,29.3181,22.3214
4600,0.1,44.174,0.8949,5.38983,24.6251,29.4218,23.1494
4700,0.1,46.550,0.9184,5.48960,27.0037,31.0187,24.2551
4800,0.1,47.308,0.9002,5.57285,27.9264,31.6847,24.8430
4900,0.1,47.273,0.9107,5.64571,27.4299,31.6908,24.1837
5000,0.1,47.642,0.9026,5.73495,27.5944,32.0290,24.8021
5100,0.1,49.628,0.9196,5.83427,28.7305,33.2491,25.4010
5200,0.1,49.332,0.8778,5.91599,29.2017,32.3732,24.8526
5300,0.1,48.394,0.8748,6.00217,29.1141,33.1124,25.3010
5400,0.1,49.168,0.8603,6.09504,28.5194,32.8622,24.8520
5500,0.1,47.280,0.8892,6.18168,28.7731,31.1900,23.7018
5600,0.1,50.929,0.8962,6.26333,30.4068,34.5907,26.2967
5700,0.1,49.177,0.8841,6.34618,29.4585,32.8660,24.8864
5800,0.1,48.576,0.8792,6.42454,31.7597,32.6034,24.5727
5900,0.1,50.759,0.8754,6.51153,32.0690,34.4446,26.3126
6000,0.1,49.072,0.8831,6.59888,31.5626,33.3688,24.9431
6100,0.1,52.095,0.9072,6.68626,33.1448,34.7979,26.3573
6200,0.1,53.077,0.8706,6.75705,32.7044,35.2235,26.1975
6300,0.1,51.612,0.8653,6.83441,31.6764,34.2403,25.4392
6400,0.1,50.488,0.8766,6.91526,32.6916,34.0250,24.8500
6500,0.1,51.097,0.8168,6.98308,33.4352,34.8916,25.9393
6600,0.1,52.113,0.8423,7.05630,35.0956,35.3530,26.1574
6700,0.1,53.261,0.8911,7.13597,34.9398,36.8273,27.0182
6800,0.1,52.896,0.8644,7.22719,35.3601,35.9449,26.5958
6900,0.1,55.243,0.8959,7.30600,35.7623,35.8513,26.3521
7000,0.1,55.134,0.8869,7.38167,35.6925,37.5685,27.4262
7100,0.1,51.949,0.8561,7.45394,35.2116,35.7712,26.6704
7200,0.1,53.421,0.8985,7.52655,35.7243,36.1543,26.3783
7300,0.1,56.760,0.8857,7.59862,37.4027,37.4208,27.5926
7400,0.1,56.912,0.8633,7.67067,37.5834,37.0392,26.2370
7500,0.1,54.238,0.8437,7.73851,35.9315,36.0403,25.8201
7600,0.1,55.399,0.8349,7.80686,37.1255,36.3189,26.1546
7700,0.1,56.008,0.8322,7.88085,37.5304,36.8507,25.8439
7800,0.1,57.868,0.8551,7.94898,38.2606,37.5364,26.8286
7900,0.1,55.403,0.8311,8.02616,37.3291,37.2941,26.1834
8000,0.1,58.285,0.8547,8.09792,37.7312,37.3760,26.3214
8100,0.1,57.936,0.8768,8.16401,38.2727,38.8223,26.7739
8200,0.1,59.443,0.8254,8.22054,39.1144,37.8157,26.2771
8300,0.1,57.329,0.8414,8.28813,38.6391,38.0006,25.7834
8400,0.1,61.127,0.8365,8.35151,39.9169,39.3550,27.1956
8500,0.1,57.872,0.8428,8.42047,38.7576,38.0113,25.8764
8600,0.1,62.255,0.8447,8.47702,40.0919,37.9733,26.1898
8700,0.1,61.947,0.8703,8.54067,39.8611,38.9902,26.7177
8800,0.1,60.980,0.8482,8.60157,40.0578,39.7182,27.2774
8900,0.1,62.985,0.8860,8.65381,40.7500,39.7619,26.6836
9000,0.1,61.427,0.8712,8.71321,41.0840,39.1817,26.6552
9100,0.1,61.592,0.8530,8.77756,40.7712,38.6552,25.7797
9200,0.1,62.748,0.8528,8.83741,40.9304,40.2069,27.3682
9300,0.1,61.922,0.8150,8.89124,40.9294,38.3503,25.7931
9400,0.1,62.813,0.8428,8.95209,42.6632,39.3052,25.8146
9500,0.1,64.901,0.8381,9.00887,42.0210,39.5031,26.1439
9600,0.1,65.426,0.8655,9.06142,42.5039,39.9285,26.4067
9700,0.1,65.021,0.8795,9.11166,42.5326,40.5412,26.9581
9800,0.1,65.959,0.8468,9.16282,42.9695,40.2876,26.1246
9900,0.1,64.314,0.8444,9.20905,41.9668,40.1432,26.1387
10000,0.1,67.474,0.8355,9.26830,43.2349,40.3489,26.1544
10100,0.1,64.723,0.8611,9.32526,42.3028,40.1980,25.9888
10200,0.1,66.965,0.8464,9.37066,44.3049,39.9222,26.1334
10300,0.1,67.891,0.8591,9.42051,43.4502,39.4539,24.9059
10400,0.1,66.897,0.8416,9.47219,43.6691,40.9894,26.2707
10500,0.1,68.145,0.8499,9.51599,44.5057,40.3685,26.1812
