ckpt,layer,ma_mag,n_seq,g_radial_mean,g_radial_sem,gnorm_mean,chance_radial,abs_over_chance,signif_sigma
4000,2,45.346,4800,5.753e-07,5.785e-08,8.696e-05,3.066e-06,0.188,9.94
8000,2,56.954,4800,8.805e-07,4.164e-08,8.731e-05,3.079e-06,0.286,21.14
12000,2,68.595,4800,-1.508e-07,3.955e-08,9.259e-05,3.265e-06,0.046,-3.81
16000,2,75.615,4800,-2.982e-07,4.439e-08,1.053e-04,3.712e-06,0.080,-6.72
20000,2,78.439,4800,1.440e-08,4.844e-08,1.180e-04,4.162e-06,0.003,0.30
24000,2,76.477,4800,7.298e-07,5.444e-08,1.317e-04,4.642e-06,0.157,13.41
28000,2,74.458,4800,4.795e-08,6.695e-08,1.549e-04,5.463e-06,0.009,0.72
32000,2,73.902,4800,2.937e-07,7.696e-08,1.744e-04,6.148e-06,0.048,3.82
36000,2,71.835,4800,-5.183e-08,8.923e-08,2.032e-04,7.164e-06,0.007,-0.58
40000,2,69.604,4800,1.227e-07,1.010e-07,2.269e-04,8.001e-06,0.015,1.21
