iter,wd,ratio_L,median,w_norm_ma,ch207,ch221,ch468
4000,0.2,45.357,0.9286,4.82713,23.1397,29.9934,23.2956
4100,0.2,42.992,0.8957,4.88843,23.4519,27.3682,21.2834
4200,0.2,43.518,0.8930,4.95816,24.2252,28.3545,21.7751
4300,0.2,43.345,0.8611,5.00790,23.6512,27.7691,21.5289
4400,0.2,44.363,0.8748,5.07453,24.8647,28.5873,22.8722
4500,0.2,43.900,0.8750,5.13038,24.7529,28.7010,22.1603
4600,0.2,43.474,0.8465,5.18448,23.1189,27.6932,21.6891
4700,0.2,46.545,0.8834,5.24711,24.5482,28.9421,22.6704
4800,0.2,44.659,0.8598,5.29531,25.5396,28.4016,22.4265
4900,0.2,46.077,0.8585,5.32679,24.4908,28.7421,21.8032
5000,0.2,46.912,0.8595,5.38356,24.5280,28.9071,22.3579
5100,0.2,46.965,0.8499,5.44163,25.1816,28.5975,22.0140
5200,0.2,46.603,0.8075,5.48899,25.0260,27.9280,21.3526
5300,0.2,46.130,0.8258,5.53229,25.0316,28.6139,21.7746
5400,0.2,45.726,0.7951,5.58668,25.2149,27.8319,21.2497
5500,0.2,44.025,0.8146,5.63297,25.2939,26.8533,20.7120
5600,0.2,46.455,0.8360,5.67376,25.8144,28.6751,22.0325
5700,0.2,46.039,0.7952,5.72201,24.7748,27.9109,21.4748
5800,0.2,46.342,0.8141,5.76401,26.5900,26.6508,20.3991
5900,0.2,46.538,0.7787,5.81585,25.8565,27.5010,21.1793
6000,0.2,45.736,0.8077,5.85954,26.4601,27.0900,20.7028
6100,0.2,47.879,0.7904,5.90811,26.6845,28.3021,21.4282
6200,0.2,48.008,0.7651,5.94427,26.2285,27.6694,20.8642
6300,0.2,47.052,0.7727,5.98629,25.6088,27.4297,20.3682
6400,0.2,45.712,0.7985,6.03163,26.3344,26.7882,19.6251
6500,0.2,46.328,0.7341,6.06525,25.9378,27.3936,20.3392
6600,0.2,47.892,0.7376,6.10001,27.2535,27.0031,20.0222
6700,0.2,48.461,0.7706,6.14433,27.0318,28.3108,20.6997
6800,0.2,46.795,0.7437,6.19497,27.1272,26.7510,20.1023
6900,0.2,50.889,0.7891,6.23164,28.1377,26.8722,20.0892
7000,0.2,48.979,0.7738,6.27736,27.1711,28.0285,20.8426
7100,0.2,47.714,0.7443,6.30873,26.7969,26.5997,19.7721
7200,0.2,47.464,0.7528,6.34396,26.8337,26.5808,19.7264
7300,0.2,49.531,0.7562,6.37953,27.4932,27.6286,20.1664
7400,0.2,50.355,0.7466,6.41833,27.7856,26.8304,19.1245
7500,0.2,49.942,0.7424,6.45708,27.8566,26.2780,18.7620
7600,0.2,49.932,0.7056,6.48551,27.5111,26.3478,19.0292
7700,0.2,49.950,0.7102,6.51258,27.2830,26.4950,18.6982
7800,0.2,51.678,0.7047,6.54950,27.8013,26.6271,18.9882
7900,0.2,49.544,0.6910,6.58950,27.2921,26.1935,18.5887
8000,0.2,50.992,0.7163,6.62510,27.5328,26.3839,18.8368
8100,0.2,51.991,0.7478,6.65900,27.8685,27.3635,18.8767
8200,0.2,51.793,0.7052,6.68057,27.6917,26.5074,18.3373
8300,0.2,51.495,0.7062,6.70435,27.8191,26.7558,18.4689
8400,0.2,53.653,0.6905,6.73320,28.5231,27.4117,18.8599
8500,0.2,49.754,0.6896,6.76030,26.8235,24.9775,16.9514
8600,0.2,53.483,0.6891,6.78619,28.1724,25.8368,17.9682
8700,0.2,52.462,0.7237,6.82207,27.7433,25.6192,17.7453
8800,0.2,51.853,0.7094,6.84938,27.3192,26.2452,17.8657
8900,0.2,54.334,0.7256,6.86626,28.0398,27.5466,18.7066
9000,0.2,52.364,0.6996,6.89302,27.4895,25.9464,17.7808
9100,0.2,55.356,0.6910,6.92487,29.1096,26.0499,17.6136
9200,0.2,55.210,0.7185,6.95643,28.8370,26.7502,18.4389
9300,0.2,55.325,0.6697,6.97977,28.6598,25.5599,17.3509
9400,0.2,57.429,0.6766,7.01316,30.0143,25.9365,17.2152
9500,0.2,56.426,0.6760,7.03357,28.0903,26.3060,17.4717
9600,0.2,56.224,0.7018,7.04968,29.0543,25.9710,17.4068
9700,0.2,57.680,0.7036,7.07145,29.2340,26.3719,17.5666
9800,0.2,57.886,0.6974,7.09097,29.6632,26.9462,17.2283
9900,0.2,55.361,0.6808,7.10961,27.9601,25.9153,16.6857
10000,0.2,58.947,0.6763,7.12963,29.0121,25.1735,16.4308
10100,0.2,55.867,0.6693,7.15851,27.5290,25.6300,16.1741
10200,0.2,59.384,0.6736,7.17827,30.1460,25.5572,16.7099
10300,0.2,59.435,0.6641,7.19981,29.2764,25.4133,15.6745
10400,0.2,56.406,0.6567,7.21880,28.4767,24.8968,15.7376
10500,0.2,59.749,0.6507,7.23700,30.0075,24.8869,16.2558
10600,0.2,56.623,0.6363,7.25180,28.0377,24.2459,15.3518
