iter,wd,ratio_L,median,ch207,ch221,ch468
4000,0.05,45.357,0.9286,23.1397,29.9934,23.2956
4200,0.05,43.573,0.9067,24.4661,29.4282,22.2835
4400,0.05,45.523,0.9068,26.6511,31.0213,24.5642
4600,0.05,45.226,0.9185,25.9587,31.1584,24.4933
4800,0.05,48.456,0.9162,29.0898,33.3149,26.1051
5000,0.05,49.565,0.9558,29.2869,34.3252,26.6238
5200,0.05,51.177,0.9120,31.3349,34.6103,26.2309
5400,0.05,51.188,0.9182,31.7123,36.0837,27.5425
5600,0.05,52.288,0.9481,33.7003,37.8016,28.7851
5800,0.05,49.740,0.9490,35.1682,36.4977,27.4802
6000,0.05,51.807,0.9499,35.5104,37.9072,28.2137
6200,0.05,54.592,0.9282,36.4945,39.2906,28.9198
6400,0.05,52.989,0.9340,36.9247,38.9731,28.2899
6600,0.05,56.214,0.8810,39.2777,40.6557,29.5056
6800,0.05,56.210,0.9197,40.5511,40.6020,29.8579
7000,0.05,57.632,0.9792,41.3214,43.2448,31.4179
7200,0.05,57.626,0.9345,41.8172,42.2143,30.4123
7400,0.05,60.408,0.9360,44.2047,42.9992,30.0956
7600,0.05,60.905,0.9343,44.6219,43.2908,30.5088
7800,0.05,62.112,0.9432,45.3074,44.8562,31.4661
8000,0.05,62.123,0.9573,45.7648,45.3695,31.5464
8200,0.05,65.141,0.9303,47.2537,46.2536,31.8698
8400,0.05,65.269,0.9123,47.8908,47.9093,32.3531
8600,0.05,65.216,0.9449,48.5206,46.5779,31.3787
8800,0.05,64.980,0.9580,48.5503,47.9374,32.3029
9000,0.05,66.786,0.9661,50.3852,48.9208,32.8775
9200,0.05,68.402,0.9660,50.7976,49.3296,32.9368
9400,0.05,68.576,0.9596,52.1173,49.9607,32.8439
9600,0.05,71.692,0.9741,52.5011,49.2601,32.3953
9800,0.05,73.959,0.9717,54.2926,51.3235,32.9969
10000,0.05,75.124,0.9636,54.8588,50.5483,32.8339
10200,0.05,73.761,0.9650,56.5739,51.0568,33.2436
10400,0.05,74.759,0.9492,55.4147,50.9465,32.3812
10600,0.05,74.135,0.9470,55.1605,50.5495,32.2285
10800,0.05,73.022,0.9748,54.8766,51.9225,32.1816
11000,0.05,75.050,0.9827,57.0375,52.0581,32.9986
11200,0.05,76.831,0.9937,57.2907,49.6938,30.4604
11400,0.05,79.564,0.9765,59.7116,53.1318,33.1251
11600,0.05,82.179,0.9650,60.0712,52.6191,32.4659
11800,0.05,79.476,0.9505,58.5469,52.7070,32.3140
12000,0.05,79.352,0.9447,59.0184,53.1072,32.0435
12200,0.05,80.735,0.9584,60.2268,53.4638,32.1893
12400,0.05,79.867,0.9156,60.4787,53.0247,31.5321
12600,0.05,80.749,0.9493,60.9841,54.4456,31.7785
12800,0.05,79.810,0.9283,59.7858,53.2139,31.1414
13000,0.05,80.606,0.9173,60.4091,52.4059,29.7234
13200,0.05,84.068,0.9630,63.0058,53.6015,31.0965
13400,0.05,81.862,0.9592,60.9000,53.3997,31.3535
13600,0.05,82.348,0.9621,62.1595,53.4366,30.7164
13800,0.05,85.440,0.9764,64.3684,54.9378,31.5764
14000,0.05,83.918,0.9466,62.6989,53.5635,30.2940
14200,0.05,86.076,0.9329,63.3390,53.6522,30.4317
14400,0.05,83.456,0.9189,62.0587,51.7905,29.1241
14600,0.05,85.067,0.9224,63.1780,54.2591,30.4586
14800,0.05,84.748,0.9430,63.5912,53.2956,29.4317
15000,0.05,85.792,0.8909,62.9516,52.5696,27.9160
15200,0.05,87.258,0.9386,63.2605,53.2181,28.8438
15400,0.05,86.077,0.9116,64.1429,54.1891,29.5318
15600,0.05,87.980,0.9103,64.9968,54.6790,29.2850
15800,0.05,88.135,0.9122,63.7945,53.7804,28.7823
16000,0.05,88.035,0.9153,64.5646,54.6022,29.1373
