iter,wd,ratio_L,median,ch207,ch221,ch468
4000,0.2,45.357,0.9286,23.1397,29.9934,23.2956
4200,0.2,43.879,0.9104,24.0891,28.5221,21.9954
4400,0.2,44.464,0.8538,24.3362,28.4929,22.4048
4600,0.2,42.986,0.8608,23.0437,27.2549,21.3558
4800,0.2,45.387,0.8393,24.8479,28.5732,22.4944
5000,0.2,45.470,0.8378,24.2298,28.0736,21.8877
5200,0.2,47.645,0.8175,25.3196,28.5519,21.7706
5400,0.2,47.405,0.7838,24.6759,28.3357,21.4308
5600,0.2,47.718,0.8239,25.0762,28.6409,21.6708
5800,0.2,45.311,0.8125,26.1646,26.8434,20.2434
6000,0.2,44.423,0.7806,25.5776,26.4730,20.0966
6200,0.2,47.706,0.7682,26.3275,27.7190,20.6607
6400,0.2,46.086,0.7806,26.1996,26.4501,19.5763
6600,0.2,47.387,0.7232,26.5091,27.0891,19.8526
6800,0.2,47.030,0.7537,27.5169,26.5258,19.9228
7000,0.2,48.840,0.7727,27.1748,27.8733,20.8676
7200,0.2,48.072,0.7493,26.3500,26.7900,19.5689
7400,0.2,49.553,0.7420,26.8749,27.4827,19.4841
7600,0.2,49.695,0.7005,27.3867,26.1202,18.6942
7800,0.2,52.794,0.7257,27.7675,26.9862,19.1233
8000,0.2,51.518,0.7219,27.2951,26.3574,18.5092
8200,0.2,52.394,0.6996,28.0851,26.8161,18.6775
8400,0.2,53.870,0.7065,28.6605,27.5384,18.9119
8600,0.2,54.125,0.7168,28.3657,26.0767,18.0686
8800,0.2,53.603,0.7104,27.3723,26.3008,17.9119
9000,0.2,53.737,0.7119,27.5088,25.9353,17.6558
9200,0.2,54.429,0.7174,28.2010,27.0345,18.2078
9400,0.2,57.145,0.7014,29.0724,25.9365,16.9521
9600,0.2,57.132,0.7061,28.9796,26.1021,17.2638
9800,0.2,58.515,0.6800,29.5172,27.1366,17.3467
10000,0.2,58.828,0.6864,29.1320,25.1927,16.4324
10200,0.2,59.187,0.6766,29.6701,24.8748,16.0146
10400,0.2,57.971,0.6601,28.7300,25.1754,15.5938
10600,0.2,58.934,0.6637,28.0307,23.8845,15.0748
10800,0.2,56.958,0.6655,27.4678,24.4200,14.6894
11000,0.2,58.748,0.6809,29.1199,24.9859,15.3997
11200,0.2,58.660,0.6814,28.5958,23.6044,14.2775
11400,0.2,60.106,0.6681,28.8937,25.0937,14.8432
11600,0.2,62.354,0.6612,28.7271,24.3032,14.0033
11800,0.2,60.286,0.6255,28.5037,23.9734,13.8173
12000,0.2,59.030,0.6211,27.8259,24.4651,13.8528
12200,0.2,62.546,0.6576,29.1597,24.4365,13.8995
12400,0.2,61.032,0.6177,28.4260,23.7278,12.7019
12600,0.2,63.554,0.6347,28.2049,24.1252,13.2284
12800,0.2,60.026,0.6007,27.2677,22.9998,12.1554
13000,0.2,61.906,0.5975,28.2749,22.5584,11.9069
13200,0.2,64.662,0.6219,29.3382,23.0329,12.0599
13400,0.2,64.954,0.6165,28.3936,22.5639,12.1687
13600,0.2,62.674,0.6076,27.0226,21.8933,11.1431
13800,0.2,63.476,0.6234,29.0347,22.5833,11.6444
14000,0.2,61.581,0.5861,27.0814,21.5439,10.3772
14200,0.2,63.881,0.5965,28.4446,22.6974,11.1677
14400,0.2,61.666,0.6051,27.0015,21.4771,10.5060
14600,0.2,64.225,0.5657,26.7973,21.9245,10.4304
14800,0.2,64.461,0.6023,27.9856,21.5256,10.5744
15000,0.2,62.813,0.5668,27.0319,21.0186,9.7561
15200,0.2,62.002,0.5829,26.4254,20.3653,8.9978
15400,0.2,65.730,0.5553,27.3150,21.4336,9.4729
15600,0.2,63.220,0.5591,26.4986,20.5384,8.7332
15800,0.2,65.527,0.5545,25.5438,20.1748,8.8476
16000,0.2,63.255,0.5609,25.8652,20.3169,8.6444
16200,0.2,64.525,0.5412,25.5916,19.3261,8.1714
16400,0.2,62.280,0.5280,25.6158,19.0758,7.8561
16600,0.2,62.512,0.5344,24.8909,19.3642,7.9556
16800,0.2,63.490,0.5299,24.8952,19.2295,8.0027
17000,0.2,62.700,0.5129,25.1314,19.4668,7.6094
17200,0.2,61.810,0.5135,24.2574,18.6281,7.6076
17400,0.2,62.026,0.5224,24.4403,18.0026,6.8206
17600,0.2,63.219,0.5304,23.8042,18.4918,6.7931
17800,0.2,63.312,0.5058,23.9199,17.9780,6.5205
18000,0.2,60.611,0.5019,23.0916,17.7160,6.4492
18200,0.2,63.363,0.5170,24.1043,17.6576,6.5190
18400,0.2,59.913,0.4748,22.0023,17.4147,6.0086
18600,0.2,65.057,0.5103,23.1281,16.9678,5.9160
18800,0.2,62.644,0.4898,22.6727,17.0922,5.6918
19000,0.2,63.184,0.4858,22.6426,16.9480,5.8130
19200,0.2,61.861,0.4930,22.3741,16.6797,5.4037
19400,0.2,60.704,0.4599,21.5817,16.0023,5.2266
19600,0.2,63.084,0.4667,22.8147,16.3836,5.3810
19800,0.2,63.139,0.4674,21.9054,16.0682,5.0255
20000,0.2,64.531,0.4904,22.4225,16.0919,5.1237
20200,0.2,61.260,0.4615,21.1981,15.8252,4.8427
20400,0.2,62.505,0.4607,20.8420,15.2725,4.7913
20600,0.2,63.941,0.4621,21.2209,15.6917,4.9981
20800,0.2,61.957,0.4590,21.0855,15.5396,4.7052
21000,0.2,61.211,0.4470,20.1400,14.8360,4.4638
21200,0.2,63.110,0.4539,20.9631,14.8384,4.3519
21400,0.2,60.717,0.4443,19.7530,14.8749,4.3620
21600,0.2,58.350,0.4297,19.5356,14.0946,3.8854
21800,0.2,58.961,0.4289,19.7507,14.2699,4.2096
22000,0.2,58.749,0.4221,19.5624,13.8566,3.8321
22200,0.2,60.385,0.4273,19.8970,13.8676,4.0430
22400,0.2,60.527,0.4287,19.3022,13.7824,3.8272
22600,0.2,60.650,0.4152,19.1364,13.6756,3.5227
22800,0.2,60.794,0.4119,18.6647,13.2022,3.9532
23000,0.2,62.119,0.4303,19.1577,13.4648,3.8104
23200,0.2,62.446,0.4093,19.3110,13.2819,3.6949
23400,0.2,60.422,0.4115,18.5355,12.9606,3.2659
23600,0.2,57.406,0.4081,17.5039,13.0455,3.2745
23800,0.2,60.246,0.4022,18.4848,12.7405,3.4495
24000,0.2,59.084,0.4007,18.2401,12.6268,3.5016
